methode,n_clients,n_sites,p,relax_racine,valeur_optimale,borne_inferieure,gap_pourcent,nombre_noeuds,temps_s
Gurobi (prelinearization = 0),10,15,3,228.11729370270768,228.11729370270768,228.11729370270768,0.0,1,0.004000186920166016
Gurobi (prelinearization = 1),10,15,3,228.11729370270768,228.11729370270768,228.11729370270768,0.0,1,0.003999948501586914
Gurobi (prelinearization = 2),10,15,3,228.11729370270768,228.11729370270768,228.11729370270768,0.0,1,0.003000020980834961
Gurobi (prelinearization = 0),20,30,5,483.12964265242346,483.12964265242346,483.12964265242346,0.0,1532,0.2590000629425049
Gurobi (prelinearization = 1),20,30,5,483.12964265242346,483.12964265242346,483.12964265242346,0.0,13,0.26999998092651367
Gurobi (prelinearization = 2),20,30,5,483.12964265242346,483.12964265242346,483.12964265242346,0.0,437,0.3510000705718994
Gurobi (prelinearization = 0),30,40,6,696.0405545886218,696.0405545886218,696.0405545886218,0.0,187,0.1699998378753662
Gurobi (prelinearization = 1),30,40,6,696.0405545886218,696.0405545886218,696.0405545886218,0.0,1,0.32200002670288086
Gurobi (prelinearization = 2),30,40,6,696.0405545886218,696.0405545886218,696.0405545886218,0.0,550,0.30299997329711914
Gurobi (prelinearization = 0),40,50,8,892.5847566657656,892.5847566657656,892.5847566657656,0.0,1492,0.6700000762939453
Gurobi (prelinearization = 1),40,50,8,892.5847566657656,892.5847566657656,892.5847566657656,0.0,11,1.4350001811981201
Gurobi (prelinearization = 2),40,50,8,892.5847566657656,892.5847566657656,892.5847566657656,0.0,3695,1.0720000267028809
